source,meter_configuration,sample_id,household_id,event_id,event_date,target_start_source_clock,target_end_source_clock,measurement_scope,interval_minutes,window_hours,event_type,evidence_group,signal_id,group,household_size,dwelling_type_raw,asserted_dwelling_type_raw,floor_area_band_raw,region,climate_zone,daytime_home_raw,heated_rooms_raw,gas_heating_raw,target_total_kwh,target_mean_kw,target_max_interval_mean_kw,existing_reference_total_kwh,delta_vs_existing_reference_kwh,reference_method,experimental_price_min_nok_per_kwh,experimental_price_max_nok_per_kwh,sgsc_incentive_rate,refrigerator_present,refrigerator_count,refrigerator_answer_raw,air_conditioner_present,air_conditioner_count,air_conditioner_answer_raw,clothes_dryer_present,clothes_dryer_count,clothes_dryer_answer_raw,pool_pump_present,pool_pump_count,pool_pump_answer_raw,panel_heater_present,panel_heater_count,panel_heater_answer_raw,electric_underfloor_heating_present,electric_underfloor_heating_count,electric_underfloor_heating_answer_raw,heat_pump_present,heat_pump_count,heat_pump_answer_raw,separate_electric_water_heater_present,separate_electric_water_heater_count,separate_electric_water_heater_answer_raw,electric_or_plugin_hybrid_car_present,electric_or_plugin_hybrid_car_count,electric_or_plugin_hybrid_car_answer_raw,profile_people_household_size,profile_people_household_type,profile_people_survey_sex_answer,profile_people_highest_household_education,profile_people_gross_household_income_band,profile_people_age_group_counts,profile_people_life_status_counts,profile_dwelling_type,profile_dwelling_floor_area_band_m2,profile_dwelling_owner_occupied,profile_dwelling_construction_year_band,profile_dwelling_energy_renovation_reported,profile_dwelling_rental_unit_present,profile_dwelling_rental_unit_separate_meter,profile_dwelling_shared_flat,profile_dwelling_heated_room_count,profile_preferences_living_room_comfort_temperature_celsius,profile_usage_habits_daytime_home,profile_usage_habits_daytime_home_scope,profile_usage_habits_lower_temperature_in_less_used_rooms,profile_usage_habits_reduce_temperature_at_night_or_away,profile_usage_habits_heating_control,profile_usage_habits_water_heater_control,profile_usage_habits_dryer_usage_level,profile_usage_habits_wood_stove_use_answers,profile_energy_attitudes_reported_electricity_reduction_effort,profile_energy_attitudes_follows_electricity_use,profile_energy_attitudes_follows_electricity_prices,profile_energy_attitudes_internet_access,profile_energy_attitudes_use_information_channels,profile_energy_attitudes_price_information_channels,profile_energy_systems_electricity_contract,profile_energy_systems_respondent_receives_bill,profile_energy_systems_renewable_electricity_contract,profile_energy_systems_hot_water_arrangement,profile_energy_systems_ventilation_answers,profile_energy_systems_gas_available,profile_energy_systems_gas_heating,profile_energy_systems_gas_hot_water,profile_energy_systems_gas_cooking,profile_energy_systems_gas_other_appliance,profile_vehicles_car_present,profile_vehicles_car_count,profile_vehicles_electric_or_plugin_hybrid_present,profile_vehicles_electric_or_plugin_hybrid_count,profile_vehicles_electric_or_plugin_hybrid_details,profile_quality_flags
iflex,iflex,iflex:Exp_1:2020-02-11,Exp_1,Phase_1:H1:2020-02-11,2020-02-11,2020-02-11 00:00:00,2020-02-12 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,B_5,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,65.314,2.721416667,4.016,69.23766666666667,-3.9236666666666764,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,5.07,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_1:2020-02-12,Exp_1,Phase_1:H1:2020-02-12,2020-02-12,2020-02-12 00:00:00,2020-02-13 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,C,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,70.846,2.951916667,4.407,68.319,2.527000000000001,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,10.13,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_1:2020-02-13,Exp_1,Phase_1:H1:2020-02-13,2020-02-13,2020-02-13 00:00:00,2020-02-14 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,A_10,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,74.356,3.098166667,4.23,63.15933333333332,11.196666666666687,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,10.13,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_1:2020-02-14,Exp_1,Phase_1:H1:2020-02-14,2020-02-14,2020-02-14 00:00:00,2020-02-15 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,A_5,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,73.156,3.048166667,4.007,66.02366666666666,7.132333333333349,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,5.07,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_1:2020-03-02,Exp_1,Phase_1:H1:2020-03-02,2020-03-02,2020-03-02 00:00:00,2020-03-03 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,A_10,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,62.519,2.604958333,3.453,65.26033333333332,-2.7413333333333227,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,10.13,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_1:2020-03-03,Exp_1,Phase_1:H1:2020-03-03,2020-03-03,2020-03-03 00:00:00,2020-03-04 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,A_5,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,62.62,2.609166667,3.255,69.38100000000001,-6.76100000000001,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,5.07,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_1:2020-03-04,Exp_1,Phase_1:H1:2020-03-04,2020-03-04,2020-03-04 00:00:00,2020-03-05 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,B_10,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,64.354,2.681416667,4.517,69.60166666666667,-5.24766666666666,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,10.13,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_1:2020-03-05,Exp_1,Phase_1:H1:2020-03-05,2020-03-05,2020-03-05 00:00:00,2020-03-06 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,C,H1,2,Detached house,,80-99 m2,Bergen,,Yes,,,67.452,2.8105,4.212,69.535,-2.0829999999999984,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,10.13,,,,,,,,,,,,,,,,No,,,No,True,,Main heat source,True,,Own electric water heater,False,,No,2,Couple without children living at home,Man,High school / High school level (11-13 years of schooling),,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 2, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 2, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,80-99 m2,True,1946-1960,False,False,,,,24.0,True,weekday_daytime,True,False,"Yes, automated by time (set schedule in thermostat)",No,,,,False,False,,,,,True,,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_220:2020-02-13,Exp_220,Phase_1:H2:2020-02-13,2020-02-13,2020-02-13 00:00:00,2020-02-14 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,P_10,H2,1,Detached house,,160 m2 or larger,Oslo,,Yes,,,56.495,2.353958333,5.271,81.15799999999999,-24.66299999999999,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,10.05,,,,,,,,,,,,,,True,,Main heat source,,,No,,,No,True,,Own electric water heater,False,,No,1,Living alone,Woman,"College / University, higher degree (4 years or more)",NOK 800 000 - 999 999,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 1, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 1, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,160 m2 or larger,True,1971-1980,False,False,,,,23.0,True,weekday_daytime,True,True,"Yes, manually (turn on and off panel heaters, regulate temperature on thermostats, etc.)",No,,"[""Only on the coldest days""]",,False,False,,,,Variable price,True,False,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
iflex,iflex,iflex:Exp_220:2020-02-19,Exp_220,Phase_1:H2:2020-02-19,2020-02-19,2020-02-19 00:00:00,2020-02-20 00:00:00,reported_household_demand_no_reported_pv_business_or_shared_rental_meter,60,24.0,experimental_hourly_price,iflex_existing_candidate,P_10,H2,1,Detached house,,160 m2 or larger,Oslo,,Yes,,,54.962,2.290083333,4.78,77.95,-22.988000000000007,mean_last_up_to_3_same_weekday_non_signal_days_within_42_days_min_2,0.95,10.05,,,,,,,,,,,,,,True,,Main heat source,,,No,,,No,True,,Own electric water heater,False,,No,1,Living alone,Woman,"College / University, higher degree (4 years or more)",NOK 800 000 - 999 999,"{""0_1"": 0, ""16_22"": 0, ""23_29"": 0, ""2_5"": 0, ""30_39"": 0, ""40_49"": 0, ""50_66"": 0, ""67_plus"": 1, ""6_15"": 0}","{""full_time_work"": 0, ""other"": 0, ""part_time_work"": 0, ""retired"": 1, ""school_or_kindergarten"": 0, ""student"": 0, ""unemployed_or_not_in_education"": 0}",Detached house,160 m2 or larger,True,1971-1980,False,False,,,,23.0,True,weekday_daytime,True,True,"Yes, manually (turn on and off panel heaters, regulate temperature on thermostats, etc.)",No,,"[""Only on the coldest days""]",,False,False,,,,Variable price,True,False,Own electric water heater,"[""What air ventilation system do you have in your home? Natural ventilation (ventilation via windows and air vents)""]",,,,,,True,1,False,,[],[]
