source,meter_configuration,sample_id,household_id,event_id,event_date,target_start_source_clock,target_end_source_clock,measurement_scope,interval_minutes,window_hours,event_type,evidence_group,signal_id,group,household_size,dwelling_type_raw,asserted_dwelling_type_raw,floor_area_band_raw,region,climate_zone,daytime_home_raw,heated_rooms_raw,gas_heating_raw,target_total_kwh,target_mean_kw,target_max_interval_mean_kw,existing_reference_total_kwh,delta_vs_existing_reference_kwh,reference_method,experimental_price_min_nok_per_kwh,experimental_price_max_nok_per_kwh,sgsc_incentive_rate,refrigerator_present,refrigerator_count,refrigerator_answer_raw,air_conditioner_present,air_conditioner_count,air_conditioner_answer_raw,clothes_dryer_present,clothes_dryer_count,clothes_dryer_answer_raw,pool_pump_present,pool_pump_count,pool_pump_answer_raw,panel_heater_present,panel_heater_count,panel_heater_answer_raw,electric_underfloor_heating_present,electric_underfloor_heating_count,electric_underfloor_heating_answer_raw,heat_pump_present,heat_pump_count,heat_pump_answer_raw,separate_electric_water_heater_present,separate_electric_water_heater_count,separate_electric_water_heater_answer_raw,electric_or_plugin_hybrid_car_present,electric_or_plugin_hybrid_car_count,electric_or_plugin_hybrid_car_answer_raw
sgsc,sgsc_single,SGSC:10006486:1000243,10006486,1000243,2013-02-26,2013-02-26 13:00:00,2013-02-26 15:00:00,single_general_supply,30,2.0,DPP,boundary_resolved_by_recorded_times,,,,,Unit,,,Warm temperate,Y,0,,0.096,0.048,0.192,,,,,,,True,1,1,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10006486:1000247,10006486,1000247,2013-03-22,2013-03-22 13:30:00,2013-03-22 17:30:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,0.601,0.15025,0.218,,,,,,,True,1,1,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10006486:1000257,10006486,1000257,2013-11-28,2013-11-28 14:00:00,2013-11-28 18:00:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,0.24,0.06,0.11,,,,,,,True,1,1,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10014564:1000257,10014564,1000257,2013-11-28,2013-11-28 14:00:00,2013-11-28 18:00:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,NotUnit,,,Warm temperate,Y,1,,1.59,0.3975,1.214,,,,,,,True,2,2,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10014564:1000259,10014564,1000259,2013-12-09,2013-12-09 14:00:00,2013-12-09 17:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Warm temperate,Y,1,,0.82,0.273333333,0.514,,,,,,,True,2,2,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10014564:1000260,10014564,1000260,2013-12-10,2013-12-10 14:30:00,2013-12-10 16:30:00,single_general_supply,30,2.0,DPP,existing_date_product_support,,,,,NotUnit,,,Warm temperate,Y,1,,0.464,0.232,0.252,,,,,,,True,2,2,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10014564:1000262,10014564,1000262,2014-01-16,2014-01-16 14:30:00,2014-01-16 17:30:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Warm temperate,Y,1,,2.195,0.731666667,2.6600000000000006,,,,,,,True,2,2,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10014564:1000263,10014564,1000263,2014-01-29,2014-01-29 15:00:00,2014-01-29 18:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Warm temperate,Y,1,,2.33,0.776666667,1.358,,,,,,,True,2,2,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10014564:1000264,10014564,1000264,2014-01-30,2014-01-30 15:00:00,2014-01-30 18:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Warm temperate,Y,1,,1.773,0.591,1.8300000000000003,,,,,,,True,2,2,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10014564:1000267,10014564,1000267,2014-02-13,2014-02-13 13:00:00,2014-02-13 17:00:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,NotUnit,,,Warm temperate,Y,1,,2.279,0.56975,1.946,,,,,,,True,2,2,True,,SplitSystem,True,,MED,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10037330:1000257,10037330,1000257,2013-11-28,2013-11-28 14:00:00,2013-11-28 18:00:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,2.912,0.728,2.074,,,,,,,True,1,1,True,,Ducted,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10037330:1000259,10037330,1000259,2013-12-09,2013-12-09 14:00:00,2013-12-09 17:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,0.412,0.137333333,0.196,,,,,,,True,1,1,True,,Ducted,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10037330:1000260,10037330,1000260,2013-12-10,2013-12-10 14:30:00,2013-12-10 16:30:00,single_general_supply,30,2.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,1.629,0.8145,2.284,,,,,,,True,1,1,True,,Ducted,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10037330:1000262,10037330,1000262,2014-01-16,2014-01-16 14:30:00,2014-01-16 17:30:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,0.66,0.22,0.636,,,,,,,True,1,1,True,,Ducted,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10037330:1000263,10037330,1000263,2014-01-29,2014-01-29 15:00:00,2014-01-29 18:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,2.217,0.739,3.2,,,,,,,True,1,1,True,,Ducted,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10037330:1000264,10037330,1000264,2014-01-30,2014-01-30 15:00:00,2014-01-30 18:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,6.287,2.095666667,3.146,,,,,,,True,1,1,True,,Ducted,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10037330:1000267,10037330,1000267,2014-02-13,2014-02-13 13:00:00,2014-02-13 17:00:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,Unit,,,Warm temperate,Y,0,,2.278,0.5695,3.208,,,,,,,True,1,1,True,,Ducted,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000240,10041674,1000240,2013-01-17,2013-01-17 12:00:00,2013-01-17 16:00:00,single_general_supply,30,4.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,7.1,1.775,2.15,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000241,10041674,1000241,2013-01-25,2013-01-25 13:00:00,2013-01-25 17:00:00,single_general_supply,30,4.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,4.3,1.075,1.676,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000244,10041674,1000244,2013-03-07,2013-03-07 11:30:00,2013-03-07 15:30:00,single_general_supply,30,4.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,7.059,1.76475,1.99,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000245,10041674,1000245,2013-03-13,2013-03-13 13:00:00,2013-03-13 17:00:00,single_general_supply,30,4.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,5.383,1.34575,1.79,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000246,10041674,1000246,2013-03-22,2013-03-22 13:30:00,2013-03-22 17:30:00,single_general_supply,30,4.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,7.119,1.77975,1.876,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000248,10041674,1000248,2013-03-28,2013-03-28 11:30:00,2013-03-28 15:30:00,single_general_supply,30,4.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,1.264,0.316,1.282,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000250,10041674,1000250,2013-07-24,2013-07-24 16:30:00,2013-07-24 19:30:00,single_general_supply,30,3.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,0.73,0.243333333,0.274,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000251,10041674,1000251,2013-08-02,2013-08-02 16:30:00,2013-08-02 19:30:00,single_general_supply,30,3.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,4.245,1.415,2.126,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10041674:1000266,10041674,1000266,2014-02-13,2014-02-13 13:00:00,2014-02-13 17:00:00,single_general_supply,30,4.0,DPR,profile_event_support_only_offer_product_missing,,,,SeparateHouse,NotUnit,,,Mild temperate,N,3,Y,1.773,0.44325,1.632,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000243,10042562,1000243,2013-02-26,2013-02-26 13:00:00,2013-02-26 15:00:00,single_general_supply,30,2.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,0.326,0.163,0.192,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000247,10042562,1000247,2013-03-22,2013-03-22 13:30:00,2013-03-22 17:30:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,0.627,0.15675,0.226,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000257,10042562,1000257,2013-11-28,2013-11-28 14:00:00,2013-11-28 18:00:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,0.636,0.159,0.22,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000259,10042562,1000259,2013-12-09,2013-12-09 14:00:00,2013-12-09 17:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,1.36,0.453333333,0.7419999999999999,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000260,10042562,1000260,2013-12-10,2013-12-10 14:30:00,2013-12-10 16:30:00,single_general_supply,30,2.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,0.801,0.4005,0.494,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000262,10042562,1000262,2014-01-16,2014-01-16 14:30:00,2014-01-16 17:30:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,0.776,0.258666667,0.408,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000263,10042562,1000263,2014-01-29,2014-01-29 15:00:00,2014-01-29 18:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,0.736,0.245333333,0.374,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000264,10042562,1000264,2014-01-30,2014-01-30 15:00:00,2014-01-30 18:00:00,single_general_supply,30,3.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,0.864,0.288,0.486,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042562:1000267,10042562,1000267,2014-02-13,2014-02-13 13:00:00,2014-02-13 17:00:00,single_general_supply,30,4.0,DPP,existing_date_product_support,,,,,NotUnit,,,Mild temperate,Y,0,,1.283,0.32075,0.416,,,,,,,True,1,1,False,,,True,,HI,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000240,10042604,1000240,2013-01-17,2013-01-17 12:00:00,2013-01-17 16:00:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,2.511,0.62775,2.04,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000241,10042604,1000241,2013-01-25,2013-01-25 13:00:00,2013-01-25 17:00:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,3.505,0.87625,3.6600000000000006,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000242,10042604,1000242,2013-02-08,2013-02-08 13:30:00,2013-02-08 17:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,2.172,0.543,2.21,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000244,10042604,1000244,2013-03-07,2013-03-07 11:30:00,2013-03-07 15:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,3.921,0.98025,1.882,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000245,10042604,1000245,2013-03-13,2013-03-13 13:00:00,2013-03-13 17:00:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,2.62,0.655,2.016,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000246,10042604,1000246,2013-03-22,2013-03-22 13:30:00,2013-03-22 17:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,4.005,1.00125,2.622,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000248,10042604,1000248,2013-03-28,2013-03-28 11:30:00,2013-03-28 15:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,2.019,0.50475,1.79,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000250,10042604,1000250,2013-07-24,2013-07-24 16:30:00,2013-07-24 19:30:00,single_general_supply,30,3.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,7.244,2.414666667,4.84,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000251,10042604,1000251,2013-08-02,2013-08-02 16:30:00,2013-08-02 19:30:00,single_general_supply,30,3.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,6.022,2.007333333,3.58,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042604:1000266,10042604,1000266,2014-02-13,2014-02-13 13:00:00,2014-02-13 17:00:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,3.38,0.845,3.85,,,,,,,True,1,1,True,,SplitSystem,,,NONE,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000240,10042922,1000240,2013-01-17,2013-01-17 12:00:00,2013-01-17 16:00:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,12.287,3.07175,5.226,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000241,10042922,1000241,2013-01-25,2013-01-25 13:00:00,2013-01-25 17:00:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,10.663,2.66575,4.998,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000242,10042922,1000242,2013-02-08,2013-02-08 13:30:00,2013-02-08 17:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,10.498,2.6245,4.656,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000244,10042922,1000244,2013-03-07,2013-03-07 11:30:00,2013-03-07 15:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,12.684,3.171,6.804,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000245,10042922,1000245,2013-03-13,2013-03-13 13:00:00,2013-03-13 17:00:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,7.531,1.88275,3.686,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000246,10042922,1000246,2013-03-22,2013-03-22 13:30:00,2013-03-22 17:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,6.062,1.5155,2.872,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000248,10042922,1000248,2013-03-28,2013-03-28 11:30:00,2013-03-28 15:30:00,single_general_supply,30,4.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,9.399,2.34975,4.33,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000250,10042922,1000250,2013-07-24,2013-07-24 16:30:00,2013-07-24 19:30:00,single_general_supply,30,3.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,8.973,2.991,5.398,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
sgsc,sgsc_single,SGSC:10042922:1000251,10042922,1000251,2013-08-02,2013-08-02 16:30:00,2013-08-02 19:30:00,single_general_supply,30,3.0,DPR,existing_date_product_support,,,,Unit,Unit,,,Mild temperate,N,0,N,8.8,2.933333333,5.934,,,,,,,True,1,1,True,,SplitSystem,True,,LOW,False,,,,,,,,,,,,,,,,,
