sample_id,household_id,branch,reason
SGSC:10006486:1000259,10006486,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:10111896:1000259,10111896,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:10131368:1000243,10131368,sgsc_single,event_before_profile_start
SGSC:10131368:1000259,10131368,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:10216284:1000243,10216284,sgsc_single,event_before_profile_start
SGSC:10218392:1000263,10218392,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:10233644:1000240,10233644,sgsc_single,event_before_profile_start
SGSC:10233704:1000240,10233704,sgsc_single,missing_operation_dates
SGSC:10233730:1000240,10233730,sgsc_single,event_before_profile_start
SGSC:10233730:1000241,10233730,sgsc_single,event_before_profile_start
SGSC:10233730:1000242,10233730,sgsc_single,event_before_profile_start
SGSC:10233730:1000244,10233730,sgsc_single,event_before_profile_start
SGSC:10233730:1000245,10233730,sgsc_single,event_before_profile_start
SGSC:10233730:1000246,10233730,sgsc_single,event_before_profile_start
SGSC:10233730:1000248,10233730,sgsc_single,event_before_profile_start
SGSC:10299206:1000243,10299206,sgsc_single,event_before_profile_start
SGSC:10304648:1000250,10304648,sgsc_single,boundary_day_without_time_evidence
SGSC:10346506:1000243,10346506,sgsc_single,event_before_profile_start
SGSC:10390851:1000243,10390851,sgsc_single,event_before_profile_start
SGSC:10390883:1000243,10390883,sgsc_single,event_before_profile_start
SGSC:10419569:1000243,10419569,sgsc_single,event_before_profile_start
SGSC:10419959:1000243,10419959,sgsc_single,event_before_profile_start
SGSC:10467639:1000244,10467639,sgsc_single,boundary_day_without_time_evidence
SGSC:10467875:1000243,10467875,sgsc_single,event_before_profile_start
SGSC:10469267:1000263,10469267,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:10476093:1000243,10476093,sgsc_single,event_before_profile_start
SGSC:10503251:1000243,10503251,sgsc_single,event_before_profile_start
SGSC:10503261:1000243,10503261,sgsc_single,event_before_profile_start
SGSC:10527877:1000243,10527877,sgsc_single,event_before_profile_start
SGSC:10548891:1000243,10548891,sgsc_single,event_before_profile_start
SGSC:10590282:1000243,10590282,sgsc_single,event_before_profile_start
SGSC:10595596:1000243,10595596,sgsc_single,event_before_profile_start
SGSC:10599030:1000243,10599030,sgsc_single,event_before_profile_start
SGSC:10631999:1000243,10631999,sgsc_single,event_before_profile_start
SGSC:10642557:1000244,10642557,sgsc_single,event_before_profile_start
SGSC:10642557:1000245,10642557,sgsc_single,event_before_profile_start
SGSC:10642557:1000248,10642557,sgsc_single,event_before_profile_start
SGSC:10964458:1000263,10964458,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:11006328:1000243,11006328,sgsc_single,event_before_profile_start
SGSC:11006734:1000243,11006734,sgsc_single,event_before_profile_start
SGSC:11006866:1000243,11006866,sgsc_single,event_before_profile_start
SGSC:11008074:1000243,11008074,sgsc_single,event_before_profile_start
SGSC:11047950:1000246,11047950,sgsc_single,event_before_profile_start
SGSC:11047950:1000248,11047950,sgsc_single,event_before_profile_start
SGSC:11048036:1000242,11048036,sgsc_single,event_before_profile_start
SGSC:11048036:1000244,11048036,sgsc_single,event_before_profile_start
SGSC:11048036:1000245,11048036,sgsc_single,event_before_profile_start
SGSC:11048036:1000246,11048036,sgsc_single,event_before_profile_start
SGSC:11048036:1000248,11048036,sgsc_single,event_before_profile_start
SGSC:11127721:1000247,11127721,sgsc_single,event_before_profile_start
SGSC:11164097:1000263,11164097,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:11170281:1000244,11170281,sgsc_single,missing_operation_dates
SGSC:11170281:1000245,11170281,sgsc_single,missing_operation_dates
SGSC:11170281:1000246,11170281,sgsc_single,missing_operation_dates
SGSC:11170389:1000242,11170389,sgsc_single,event_before_profile_start
SGSC:11170389:1000244,11170389,sgsc_single,event_before_profile_start
SGSC:11170389:1000245,11170389,sgsc_single,event_before_profile_start
SGSC:11170389:1000246,11170389,sgsc_single,event_before_profile_start
SGSC:11170389:1000248,11170389,sgsc_single,event_before_profile_start
SGSC:11176151:1000245,11176151,sgsc_single,event_before_profile_start
SGSC:11176151:1000246,11176151,sgsc_single,event_before_profile_start
SGSC:11176151:1000248,11176151,sgsc_single,event_before_profile_start
SGSC:11276038:1000243,11276038,sgsc_single,event_before_profile_start
SGSC:11276078:1000243,11276078,sgsc_single,event_before_profile_start
SGSC:11447617:1000243,11447617,sgsc_single,event_before_profile_start
SGSC:11450288:1000243,11450288,sgsc_single,event_before_profile_start
SGSC:11450555:1000243,11450555,sgsc_single,event_before_profile_start
SGSC:11461982:1000243,11461982,sgsc_single,event_before_profile_start
SGSC:8144847:1000243,8144847,sgsc_single,event_before_profile_start
SGSC:8147835:1000243,8147835,sgsc_single,event_before_profile_start
SGSC:8149943:1000260,8149943,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8157319:1000243,8157319,sgsc_single,event_before_profile_start
SGSC:8158659:1000243,8158659,sgsc_single,event_before_profile_start
SGSC:8161807:1000263,8161807,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8161807:1000264,8161807,sgsc_single,event_after_profile_finish
SGSC:8162149:1000243,8162149,sgsc_single,event_before_profile_start
SGSC:8169317:1000263,8169317,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8185445:1000243,8185445,sgsc_single,event_before_profile_start
SGSC:8192673:1000243,8192673,sgsc_single,event_before_profile_start
SGSC:8199389:1000243,8199389,sgsc_single,event_before_profile_start
SGSC:8202737:1000264,8202737,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8218123:1000263,8218123,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8219770:1000243,8219770,sgsc_single,event_before_profile_start
SGSC:8244120:1000243,8244120,sgsc_single,event_before_profile_start
SGSC:8244136:1000243,8244136,sgsc_single,event_before_profile_start
SGSC:8256232:1000243,8256232,sgsc_single,event_before_profile_start
SGSC:8256232:1000263,8256232,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8286478:1000243,8286478,sgsc_single,event_before_profile_start
SGSC:8286920:1000243,8286920,sgsc_single,event_before_profile_start
SGSC:8288760:1000243,8288760,sgsc_single,event_before_profile_start
SGSC:8291712:1000243,8291712,sgsc_single,event_before_profile_start
SGSC:8309188:1000243,8309188,sgsc_single,missing_operation_dates
SGSC:8326944:1000243,8326944,sgsc_single,event_before_profile_start
SGSC:8326980:1000243,8326980,sgsc_single,event_before_profile_start
SGSC:8342962:1000243,8342962,sgsc_single,event_before_profile_start
SGSC:8345716:1000243,8345716,sgsc_single,event_before_profile_start
SGSC:8356848:1000243,8356848,sgsc_single,event_before_profile_start
SGSC:8356988:1000243,8356988,sgsc_single,event_before_profile_start
SGSC:8357494:1000259,8357494,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8376300:1000263,8376300,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8391336:1000243,8391336,sgsc_single,event_before_profile_start
SGSC:8391336:1000264,8391336,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8421202:1000243,8421202,sgsc_single,event_before_profile_start
SGSC:8421202:1000247,8421202,sgsc_single,event_before_profile_start
SGSC:8430054:1000243,8430054,sgsc_single,event_before_profile_start
SGSC:8430054:1000263,8430054,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8448885:1000263,8448885,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8451961:1000257,8451961,sgsc_single,product_conflict
SGSC:8451961:1000259,8451961,sgsc_single,product_conflict
SGSC:8451961:1000260,8451961,sgsc_single,product_conflict
SGSC:8451961:1000262,8451961,sgsc_single,product_conflict
SGSC:8451961:1000263,8451961,sgsc_single,product_conflict
SGSC:8451961:1000264,8451961,sgsc_single,product_conflict
SGSC:8451961:1000267,8451961,sgsc_single,product_conflict
SGSC:8454015:1000243,8454015,sgsc_single,event_before_profile_start
SGSC:8458835:1000243,8458835,sgsc_single,event_before_profile_start
SGSC:8473763:1000263,8473763,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8473763:1000264,8473763,sgsc_single,event_after_profile_finish
SGSC:8476739:1000263,8476739,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8476739:1000264,8476739,sgsc_single,event_after_profile_finish
SGSC:8477111:1000243,8477111,sgsc_single,event_before_profile_start
SGSC:8477815:1000246,8477815,sgsc_single,boundary_day_without_time_evidence
SGSC:8486583:1000243,8486583,sgsc_single,event_before_profile_start
SGSC:8486809:1000243,8486809,sgsc_single,event_before_profile_start
SGSC:8493436:1000263,8493436,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8493436:1000264,8493436,sgsc_single,event_after_profile_finish
SGSC:8505740:1000263,8505740,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8521222:1000263,8521222,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8521222:1000264,8521222,sgsc_single,event_after_profile_finish
SGSC:8524546:1000243,8524546,sgsc_single,event_before_profile_start
SGSC:8541068:1000257,8541068,sgsc_single,event_after_profile_finish
SGSC:8541136:1000243,8541136,sgsc_single,event_before_profile_start
SGSC:8565577:1000247,8565577,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8571133:1000243,8571133,sgsc_single,event_before_profile_start
SGSC:8587018:1000259,8587018,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8587352:1000243,8587352,sgsc_single,event_before_profile_start
SGSC:8590566:1000243,8590566,sgsc_single,event_before_profile_start
SGSC:8595410:1000247,8595410,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8597388:1000243,8597388,sgsc_single,event_before_profile_start
SGSC:8597418:1000243,8597418,sgsc_single,event_before_profile_start
SGSC:8597434:1000243,8597434,sgsc_single,event_before_profile_start
SGSC:8597442:1000243,8597442,sgsc_single,event_before_profile_start
SGSC:8597450:1000243,8597450,sgsc_single,event_before_profile_start
SGSC:8597462:1000243,8597462,sgsc_single,event_before_profile_start
SGSC:8610325:1000263,8610325,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8610325:1000264,8610325,sgsc_single,event_after_profile_finish
SGSC:8633777:1000263,8633777,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8645049:1000243,8645049,sgsc_single,event_before_profile_start
SGSC:8663290:1000259,8663290,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:8677842:1000243,8677842,sgsc_single,event_before_profile_start
SGSC:8715490:1000243,8715490,sgsc_single,event_before_profile_start
SGSC:8778850:1000243,8778850,sgsc_single,event_before_profile_start
SGSC:8781090:1000243,8781090,sgsc_single,event_before_profile_start
SGSC:8781184:1000243,8781184,sgsc_single,event_before_profile_start
SGSC:8952808:1000243,8952808,sgsc_single,event_before_profile_start
SGSC:9017860:1000243,9017860,sgsc_single,event_before_profile_start
SGSC:9068764:1000243,9068764,sgsc_single,event_before_profile_start
SGSC:9068830:1000247,9068830,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:9072276:1000243,9072276,sgsc_single,event_before_profile_start
SGSC:9072336:1000243,9072336,sgsc_single,event_before_profile_start
SGSC:9079186:1000243,9079186,sgsc_single,event_before_profile_start
SGSC:9085862:1000248,9085862,sgsc_single,boundary_day_without_time_evidence
SGSC:9089180:1000243,9089180,sgsc_single,event_before_profile_start
SGSC:9114414:1000243,9114414,sgsc_single,event_before_profile_start
SGSC:9393842:1000259,9393842,sgsc_single,event_not_fully_inside_recorded_time_window
SGSC:9773254:1000243,9773254,sgsc_single,event_before_profile_start
SGSC:9879220:1000243,9879220,sgsc_single,event_before_profile_start
SGSC:9911146:1000242,9911146,sgsc_single,event_before_profile_start
SGSC:9911146:1000244,9911146,sgsc_single,event_before_profile_start
SGSC:9911146:1000245,9911146,sgsc_single,event_before_profile_start
SGSC:9911146:1000246,9911146,sgsc_single,event_before_profile_start
SGSC:9911146:1000248,9911146,sgsc_single,event_before_profile_start
SGSC:9997650:1000243,9997650,sgsc_single,event_before_profile_start
SGSC:10090558:1000264,10090558,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:10254974:1000264,10254974,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:10453421:1000243,10453421,sgsc_two_meter,event_before_profile_start
SGSC:10503243:1000243,10503243,sgsc_two_meter,event_before_profile_start
SGSC:10509825:1000243,10509825,sgsc_two_meter,event_before_profile_start
SGSC:10509911:1000243,10509911,sgsc_two_meter,event_before_profile_start
SGSC:10583370:1000243,10583370,sgsc_two_meter,event_before_profile_start
SGSC:10590194:1000243,10590194,sgsc_two_meter,event_before_profile_start
SGSC:10595616:1000243,10595616,sgsc_two_meter,event_before_profile_start
SGSC:10690966:1000243,10690966,sgsc_two_meter,event_before_profile_start
SGSC:10702492:1000243,10702492,sgsc_two_meter,missing_operation_dates
SGSC:10704334:1000243,10704334,sgsc_two_meter,event_before_profile_start
SGSC:10768190:1000257,10768190,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:10787638:1000243,10787638,sgsc_two_meter,event_before_profile_start
SGSC:10895391:1000240,10895391,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:10910070:1000243,10910070,sgsc_two_meter,event_before_profile_start
SGSC:11006546:1000243,11006546,sgsc_two_meter,event_before_profile_start
SGSC:11109405:1000243,11109405,sgsc_two_meter,event_before_profile_start
SGSC:11453220:1000258,11453220,sgsc_two_meter,boundary_day_without_time_evidence
SGSC:8163731:1000259,8163731,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:8164567:1000243,8164567,sgsc_two_meter,event_before_profile_start
SGSC:8171275:1000243,8171275,sgsc_two_meter,event_before_profile_start
SGSC:8181617:1000263,8181617,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:8191985:1000258,8191985,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:8196501:1000243,8196501,sgsc_two_meter,missing_operation_dates
SGSC:8200741:1000243,8200741,sgsc_two_meter,event_before_profile_start
SGSC:8200741:1000260,8200741,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:8211599:1000263,8211599,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:8221194:1000243,8221194,sgsc_two_meter,event_before_profile_start
SGSC:8221790:1000263,8221790,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:8231372:1000243,8231372,sgsc_two_meter,event_before_profile_start
SGSC:8231502:1000243,8231502,sgsc_two_meter,event_before_profile_start
SGSC:8235488:1000259,8235488,sgsc_two_meter,event_not_fully_inside_recorded_time_window
SGSC:8253614:1000243,8253614,sgsc_two_meter,event_before_profile_start
SGSC:8261092:1000243,8261092,sgsc_two_meter,event_before_profile_start
SGSC:8263668:1000243,8263668,sgsc_two_meter,event_before_profile_start
