source,meter_configuration,household_id,profile_people_household_size,profile_people_household_type,profile_people_survey_sex_answer,profile_people_highest_household_education,profile_people_gross_household_income_band,profile_people_age_group_counts,profile_people_life_status_counts,profile_dwelling_type,profile_dwelling_floor_area_band_m2,profile_dwelling_owner_occupied,profile_dwelling_construction_year_band,profile_dwelling_energy_renovation_reported,profile_dwelling_rental_unit_present,profile_dwelling_rental_unit_separate_meter,profile_dwelling_shared_flat,profile_dwelling_heated_room_count,profile_preferences_living_room_comfort_temperature_celsius,profile_usage_habits_daytime_home,profile_usage_habits_daytime_home_scope,profile_usage_habits_lower_temperature_in_less_used_rooms,profile_usage_habits_reduce_temperature_at_night_or_away,profile_usage_habits_heating_control,profile_usage_habits_water_heater_control,profile_usage_habits_dryer_usage_level,profile_usage_habits_wood_stove_use_answers,profile_energy_attitudes_reported_electricity_reduction_effort,profile_energy_attitudes_follows_electricity_use,profile_energy_attitudes_follows_electricity_prices,profile_energy_attitudes_internet_access,profile_energy_attitudes_use_information_channels,profile_energy_attitudes_price_information_channels,profile_energy_systems_electricity_contract,profile_energy_systems_respondent_receives_bill,profile_energy_systems_renewable_electricity_contract,profile_energy_systems_hot_water_arrangement,profile_energy_systems_ventilation_answers,profile_energy_systems_gas_available,profile_energy_systems_gas_heating,profile_energy_systems_gas_hot_water,profile_energy_systems_gas_cooking,profile_energy_systems_gas_other_appliance,profile_vehicles_car_present,profile_vehicles_car_count,profile_vehicles_electric_or_plugin_hybrid_present,profile_vehicles_electric_or_plugin_hybrid_count,profile_vehicles_electric_or_plugin_hybrid_details,profile_quality_flags
sgsc,sgsc_single,10006486,,,,,,,,,,,,,,,,0,,True,daytime_days_unspecified,,,,,MED,,MED,,,True,,,,,,,,,,,,,,,,,,[]
sgsc,sgsc_single,10014564,,,,,,,,,,,,,,,,1,,True,daytime_days_unspecified,,,,,MED,,HI,,,True,,,,,,,,,,,,,,,,,,[]
sgsc,sgsc_single,10037330,,,,,,,,,,,,,,,,0,,True,daytime_days_unspecified,,,,,LOW,,HI,,,True,,,,,,,,,,,,,,,,,,[]
sgsc,sgsc_single,10041674,,,,,,,,SeparateHouse,,,,,,,,3,,False,daytime_days_unspecified,,,,,NONE,,LOW,,,False,,,,,,,,True,True,True,True,False,,,,,,[]
sgsc,sgsc_single,10042562,,,,,,,,,,,,,,,,0,,True,daytime_days_unspecified,,,,,HI,,HI,,,True,,,,,,,,,,,,,,,,,,[]
sgsc,sgsc_single,10042604,,,,,,,,Unit,,,,,,,,0,,False,daytime_days_unspecified,,,,,NONE,,HI,,,True,,,,,,,,False,False,False,False,False,,,,,,[]
sgsc,sgsc_single,10042922,,,,,,,,Unit,,,,,,,,0,,False,daytime_days_unspecified,,,,,LOW,,HI,,,True,,,,,,,,False,False,False,False,False,,,,,,[]
sgsc,sgsc_single,10042974,,,,,,,,Unit,,,,,,,,0,,False,daytime_days_unspecified,,,,,NONE,,MED,,,False,,,,,,,,False,False,False,False,False,,,,,,[]
sgsc,sgsc_single,10043118,,,,,,,,Unit,,,,,,,,0,,False,daytime_days_unspecified,,,,,LOW,,MED,,,True,,,,,,,,False,False,False,False,False,,,,,,[]
sgsc,sgsc_single,10043128,,,,,,,,Unit,,,,,,,,0,,False,daytime_days_unspecified,,,,,NONE,,MED,,,True,,,,,,,,False,False,False,False,False,,,,,,[]
sgsc,sgsc_single,10043810,,,,,,,,,,,,,,,,0,,True,daytime_days_unspecified,,,,,MED,,NONE,,,False,,,,,,,,,,,,,,,,,,[]
sgsc,sgsc_single,10050260,,,,,,,,Unit,,,,,,,,0,,False,daytime_days_unspecified,,,,,LOW,,HI,,,True,,,,,,,,True,False,True,True,False,,,,,,[]
